cod;nome;período;homicidio-de-jovens-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-homens-nao-negros;homicidios-homens-negros;homicidios-homens;homicidios-mulheres-nao-negras;homicidios-mulheres-negras;homicidios-mulheres;homicidios-nao-negros;homicidios-negros;homicidios-por-armas-de-fogo;homicidios
29;BA;1992;237.0;401.0;369;36;405.0;26.0;;;758.0;;;79.0;;;428;840.0
53;DF;1992;172.0;255.0;231;14;245.0;16.0;;;384.0;;;40.0;;;271;424.0
52;GO;1992;189.0;361.0;288;52;340.0;56.0;;;703.0;;;125.0;;;417;828.0
51;MT;1992;70.0;144.0;126;17;144.0;11.0;;;316.0;;;35.0;;;158;355.0
50;MS;1992;107.0;206.0;153;28;181.0;29.0;;;365.0;;;58.0;;;235;423.0
43;RS;1992;516.0;934.0;678;62;740.0;101.0;;;1409.0;;;161.0;;;1035;1570.0
42;SC;1992;74.0;141.0;145;12;157.0;10.0;;;311.0;;;50.0;;;151;361.0
41;PR;1992;269.0;507.0;440;42;486.0;47.0;;;971.0;;;116.0;;;554;1092.0
35;SP;1992;1841.0;2794.0;5002;283;5285.0;161.0;;;8472.0;;;644.0;;;2955;9116.0
33;RJ;1992;1896.0;3358.0;2132;125;2257.0;219.0;;;4212.0;;;319.0;;;3580;4536.0
32;ES;1992;196.0;349.0;322;39;361.0;31.0;;;751.0;;;85.0;;;381;839.0
31;MG;1992;231.0;435.0;418;62;481.0;51.0;;;972.0;;;154.0;;;488;1131.0
28;SE;1992;4164.0;295.0;199;9;212.0;7.0;;;420.0;;;28.0;;;312;461.0
27;AL;1992;131.0;267.0;219;24;243.0;17.0;;;538.0;;;53.0;;;284;591.0
26;PE;1992;794.0;1621.0;1013;75;1093.0;93.0;;;2352.0;;;171.0;;;1719;2531.0
25;PB;1992;101.0;194.0;150;15;165.0;24.0;;;319.0;;;36.0;;;218;355.0
24;RN;1992;57.0;101.0;85;7;92.0;9.0;;;184.0;;;15.0;;;110;199.0
23;CE;1992;102.0;187.0;244;20;265.0;14.0;;;493.0;;;42.0;;;202;537.0
22;PI;1992;15.0;28.0;37;4;41.0;2.0;;;82.0;;;10.0;;;30;92.0
21;MA;1992;74.0;192.0;149;13;162.0;15.0;;;395.0;;;30.0;;;209;427.0
17;TO;1992;14.0;37.0;21;2;23.0;3.0;;;60.0;;;5.0;;;40;67.0
16;AP;1992;24.0;35.0;41;2;43.0;3.0;;;69.0;;;4.0;;;38;73.0
15;PA;1992;221.0;436.0;325;27;353.0;31.0;;;701.0;;;56.0;;;468;759.0
14;RR;1992;23.0;47.0;43;4;47.0;5.0;;;86.0;;;9.0;;;52;95.0
13;AM;1992;81.0;157.0;170;8;178.0;7.0;;;321.0;;;26.0;;;168;351.0
12;AC;1992;34.0;46.0;51;10;61.0;7.0;;;94.0;;;13.0;;;53;107.0
11;RO;1992;89.0;215.0;121;19;140.0;14.0;;;360.0;;;35.0;;;229;395.0
27;AL;1993;147.0;322.0;223;15;238.0;29.0;;;569.0;;;50.0;;;351;619.0
26;PE;1993;1090.0;1774.0;1318;96;1416.0;118.0;;;2543.0;;;218.0;;;1893;2763.0
25;PB;1993;94.0;192.0;157;10;168.0;13.0;;;337.0;;;26.0;;;205;365.0
24;RN;1993;81.0;137.0;119;9;128.0;14.0;;;222.0;;;21.0;;;151;243.0
23;CE;1993;164.0;249.0;330;30;360.0;21.0;;;640.0;;;61.0;;;270;702.0
22;PI;1993;19.0;26.0;47;8;55.0;4.0;;;104.0;;;13.0;;;30;117.0
21;MA;1993;68.0;161.0;150;15;165.0;10.0;;;359.0;;;33.0;;;173;394.0
17;TO;1993;12.0;24.0;30;7;37.0;3.0;;;81.0;;;12.0;;;27;93.0
16;AP;1993;26.0;37.0;34;2;36.0;2.0;;;61.0;;;5.0;;;39;66.0
15;PA;1993;169.0;345.0;269;21;290.0;20.0;;;577.0;;;46.0;;;365;623.0
14;RR;1993;16.0;39.0;22;3;26.0;3.0;;;63.0;;;4.0;;;43;69.0
13;AM;1993;96.0;161.0;169;17;186.0;10.0;;;316.0;;;33.0;;;172;350.0
12;AC;1993;36.0;55.0;62;3;66.0;5.0;;;101.0;;;12.0;;;61;116.0
11;RO;1993;125.0;256.0;183;23;208.0;24.0;;;439.0;;;55.0;;;280;498.0
35;SP;1993;2304.0;3451.0;4858;325;5183.0;232.0;;;8498.0;;;726.0;;;3683;9224.0
33;RJ;1993;2197.0;4062.0;2431;124;2557.0;256.0;;;4972.0;;;381.0;;;4326;5367.0
32;ES;1993;295.0;522.0;466;50;516.0;33.0;;;995.0;;;101.0;;;555;1098.0
31;MG;1993;281.0;466.0;472;61;533.0;68.0;;;1028.0;;;181.0;;;535;1211.0
28;SE;1993;5077.0;155.0;151;8;159.0;10.0;;;286.0;;;25.0;;;165;312.0
29;BA;1993;618.0;945.0;775;46;825.0;54.0;;;1364.0;;;120.0;;;1013;1503.0
41;PR;1993;320.0;586.0;505;62;567.0;53.0;;;1099.0;;;138.0;;;639;1237.0
53;DF;1993;234.0;335.0;296;23;319.0;27.0;;;503.0;;;49.0;;;362;553.0
52;GO;1993;188.0;327.0;266;51;317.0;47.0;;;636.0;;;96.0;;;375;734.0
51;MT;1993;81.0;159.0;138;20;158.0;11.0;;;325.0;;;31.0;;;170;356.0
50;MS;1993;113.0;236.0;165;14;180.0;18.0;;;413.0;;;39.0;;;257;457.0
43;RS;1993;369.0;637.0;516;49;565.0;50.0;;;1064.0;;;113.0;;;687;1177.0
42;SC;1993;81.0;163.0;146;13;159.0;12.0;;;337.0;;;34.0;;;175;371.0
11;RO;1994;95.0;202.0;153;16;169.0;17.0;;;360.0;;;37.0;;;221;399.0
53;DF;1994;250.0;354.0;301;21;322.0;33.0;;;505.0;;;50.0;;;387;556.0
42;SC;1994;71.0;145.0;131;19;150.0;9.0;;;301.0;;;45.0;;;154;346.0
43;RS;1994;426.0;720.0;588;56;644.0;70.0;;;1196.0;;;138.0;;;790;1334.0
50;MS;1994;138.0;264.0;208;24;233.0;19.0;;;472.0;;;48.0;;;283;522.0
51;MT;1994;56.0;138.0;109;4;113.0;7.0;;;296.0;;;20.0;;;145;316.0
41;PR;1994;356.0;650.0;516;54;570.0;58.0;;;1130.0;;;130.0;;;708;1260.0
52;GO;1994;227.0;401.0;327;36;363.0;41.0;;;681.0;;;93.0;;;442;774.0
35;SP;1994;2645.0;3868.0;5546;369;5915.0;259.0;;;9194.0;;;787.0;;;4127;9981.0
33;RJ;1994;2779.0;5080.0;2909;181;3091.0;344.0;;;5922.0;;;491.0;;;5430;6420.0
32;ES;1994;300.0;549.0;476;41;517.0;46.0;;;1053.0;;;108.0;;;596;1166.0
31;MG;1994;256.0;409.0;448;74;525.0;50.0;;;941.0;;;170.0;;;460;1118.0
28;SE;1994;5980.0;190.0;167;14;181.0;21.0;;;307.0;;;32.0;;;213;344.0
29;BA;1994;716.0;1073.0;880;82;963.0;88.0;;;1551.0;;;180.0;;;1164;1739.0
27;AL;1994;166.0;360.0;236;21;257.0;24.0;;;567.0;;;48.0;;;384;615.0
26;PE;1994;1068.0;1784.0;1300;80;1381.0;113.0;;;2399.0;;;191.0;;;1897;2593.0
25;PB;1994;98.0;172.0;193;9;204.0;16.0;;;354.0;;;28.0;;;188;385.0
24;RN;1994;66.0;111.0;99;7;107.0;6.0;;;191.0;;;19.0;;;117;211.0
23;CE;1994;123.0;238.0;284;22;308.0;21.0;;;573.0;;;59.0;;;260;636.0
22;PI;1994;19.0;31.0;49;5;54.0;1.0;;;89.0;;;10.0;;;32;99.0
21;MA;1994;65.0;114.0;130;6;136.0;6.0;;;289.0;;;24.0;;;121;314.0
17;TO;1994;12.0;25.0;42;8;50.0;5.0;;;95.0;;;13.0;;;30;109.0
16;AP;1994;33.0;49.0;63;6;69.0;4.0;;;109.0;;;16.0;;;53;125.0
15;PA;1994;217.0;377.0;333;29;362.0;36.0;;;657.0;;;59.0;;;413;716.0
14;RR;1994;18.0;47.0;29;2;31.0;2.0;;;72.0;;;6.0;;;49;78.0
13;AM;1994;110.0;171.0;218;13;231.0;13.0;;;359.0;;;27.0;;;184;387.0
12;AC;1994;23.0;36.0;43;5;48.0;5.0;;;77.0;;;11.0;;;41;88.0
41;PR;1995;445.0;748.0;595;71;666.0;79.0;;;1223.0;;;163.0;;;827;1387.0
53;DF;1995;288.0;417.0;329;29;358.0;27.0;;;572.0;;;57.0;;;444;629.0
52;GO;1995;208.0;376.0;291;54;345.0;61.0;;;652.0;;;129.0;;;439;784.0
51;MT;1995;112.0;297.0;181;33;214.0;25.0;;;516.0;;;66.0;;;322;583.0
50;MS;1995;208.0;388.0;264;18;283.0;22.0;;;582.0;;;51.0;;;411;636.0
43;RS;1995;494.0;884.0;604;64;668.0;89.0;;;1288.0;;;151.0;;;973;1439.0
42;SC;1995;94.0;197.0;155;20;175.0;21.0;;;372.0;;;48.0;;;218;420.0
35;SP;1995;3094.0;4791.0;6030;456;6486.0;368.0;;;10596.0;;;959.0;;;5159;11555.0
33;RJ;1995;3567.0;6240.0;3914;214;4129.0;408.0;;;7617.0;;;587.0;;;6659;8218.0
32;ES;1995;347.0;557.0;512;57;569.0;53.0;;;1031.0;;;123.0;;;610;1154.0
31;MG;1995;325.0;558.0;511;52;566.0;46.0;;;1057.0;;;145.0;;;607;1214.0
28;SE;1995;7333.0;121.0;113;11;124.0;10.0;;;227.0;;;27.0;;;132;255.0
29;BA;1995;604.0;978.0;723;57;783.0;79.0;;;1360.0;;;165.0;;;1067;1536.0
27;AL;1995;203.0;447.0;262;29;291.0;38.0;;;680.0;;;62.0;;;485;742.0
26;PE;1995;1127.0;1942.0;1274;96;1372.0;128.0;;;2498.0;;;205.0;;;2073;2706.0
25;PB;1995;131.0;210.0;198;37;235.0;29.0;;;391.0;;;66.0;;;239;457.0
24;RN;1995;66.0;127.0;97;9;106.0;15.0;;;217.0;;;30.0;;;142;247.0
23;CE;1995;195.0;341.0;406;18;424.0;18.0;;;790.0;;;55.0;;;359;845.0
22;PI;1995;28.0;40.0;44;9;53.0;7.0;;;95.0;;;19.0;;;47;114.0
21;MA;1995;79.0;152.0;154;19;173.0;10.0;;;344.0;;;40.0;;;163;385.0
17;TO;1995;15.0;32.0;35;4;39.0;3.0;;;72.0;;;5.0;;;35;77.0
16;AP;1995;34.0;54.0;70;2;72.0;3.0;;;113.0;;;11.0;;;57;124.0
15;PA;1995;183.0;362.0;300;21;321.0;25.0;;;641.0;;;59.0;;;387;700.0
14;RR;1995;28.0;49.0;41;5;46.0;1.0;;;79.0;;;8.0;;;50;87.0
13;AM;1995;113.0;170.0;221;21;242.0;14.0;;;383.0;;;42.0;;;184;425.0
12;AC;1995;32.0;48.0;47;5;52.0;9.0;;;86.0;;;16.0;;;57;103.0
11;RO;1995;79.0;147.0;122;10;132.0;12.0;;;292.0;;;37.0;;;160;330.0
51;MT;1996;196.0;386.0;229;39;269.0;38.0;0.0;0.0;568.0;0.0;0.0;87.0;0.0;0.0;427;660.0
52;GO;1996;223.0;403.0;291;55;346.0;66.0;0.0;0.0;663.0;0.0;0.0;119.0;0.0;0.0;469;782.0
53;DF;1996;268.0;402.0;308;27;335.0;32.0;0.0;0.0;562.0;0.0;0.0;52.0;0.0;0.0;435;615.0
13;AM;1996;132.0;204.0;245;16;261.0;16.0;0.0;0.0;417.0;0.0;0.0;33.0;0.0;0.0;220;450.0
14;RR;1996;22.0;45.0;42;9;51.0;5.0;0.0;0.0;89.0;0.0;0.0;18.0;0.0;0.0;50;107.0
35;SP;1996;3173.0;5022.0;6377;431;6808.0;343.0;1553.0;335.0;11361.0;143.0;24.0;959.0;1696.0;359.0;5365;12320.0
11;RO;1996;69.0;171.0;89;16;105.0;24.0;0.0;0.0;256.0;0.0;0.0;43.0;0.0;0.0;196;301.0
41;PR;1996;438.0;714.0;599;77;676.0;73.0;0.0;0.0;1225.0;0.0;0.0;154.0;0.0;0.0;787;1379.0
42;SC;1996;108.0;187.0;154;28;182.0;26.0;1.0;0.0;345.0;0.0;0.0;67.0;1.0;0.0;213;412.0
43;RS;1996;492.0;886.0;593;84;677.0;111.0;0.0;0.0;1290.0;0.0;0.0;192.0;0.0;0.0;997;1482.0
50;MS;1996;223.0;418.0;285;33;318.0;49.0;0.0;0.0;642.0;0.0;0.0;79.0;0.0;0.0;468;722.0
25;PB;1996;148.0;234.0;259;43;302.0;41.0;0.0;0.0;530.0;0.0;0.0;106.0;0.0;0.0;275;636.0
26;PE;1996;1272.0;2172.0;1442;84;1529.0;150.0;1.0;0.0;2773.0;0.0;0.0;245.0;1.0;0.0;2325;3022.0
33;RJ;1996;3157.0;5581.0;3747;248;3998.0;428.0;1.0;0.0;7369.0;0.0;0.0;651.0;1.0;0.0;6017;8034.0
27;AL;1996;233.0;472.0;295;32;327.0;43.0;0.0;0.0;671.0;0.0;0.0;70.0;0.0;0.0;515;741.0
29;BA;1996;854.0;1368.0;918;83;1001.0;120.0;0.0;0.0;1707.0;0.0;0.0;176.0;0.0;0.0;1488;1883.0
28;SE;1996;7017.0;137.0;108;13;121.0;14.0;0.0;0.0;207.0;0.0;0.0;30.0;0.0;0.0;152;238.0
31;MG;1996;336.0;559.0;501;77;579.0;87.0;2.0;0.0;1075.0;0.0;0.0;185.0;2.0;0.0;647;1261.0
32;ES;1996;351.0;597.0;518;54;573.0;63.0;0.0;0.0;1067.0;0.0;0.0;123.0;0.0;0.0;661;1191.0
12;AC;1996;28.0;56.0;42;7;49.0;5.0;1.0;0.0;89.0;0.0;0.0;15.0;1.0;0.0;61;104.0
24;RN;1996;69.0;131.0;98;15;113.0;12.0;0.0;0.0;206.0;0.0;0.0;35.0;0.0;0.0;143;241.0
15;PA;1996;174.0;318.0;310;38;348.0;31.0;1.0;0.0;622.0;0.0;0.0;78.0;1.0;0.0;349;700.0
16;AP;1996;54.0;80.0;80;11;91.0;9.0;0.0;0.0;141.0;0.0;0.0;16.0;0.0;0.0;89;157.0
17;TO;1996;23.0;43.0;48;5;53.0;6.0;0.0;0.0;105.0;0.0;0.0;21.0;0.0;0.0;49;126.0
21;MA;1996;88.0;174.0;148;14;162.0;12.0;0.0;0.0;330.0;0.0;0.0;31.0;0.0;0.0;187;363.0
22;PI;1996;20.0;38.0;48;2;50.0;2.0;0.0;0.0;102.0;0.0;0.0;14.0;0.0;0.0;40;117.0
23;CE;1996;192.0;320.0;405;36;443.0;29.0;0.0;0.0;793.0;0.0;0.0;84.0;0.0;0.0;351;885.0
32;ES;1997;526.0;887.0;667;58;725.0;67.0;105.0;262.0;1287.0;16.0;20.0;128.0;121.0;283.0;955;1416.0
53;DF;1997;282.0;402.0;328;21;349.0;30.0;73.0;388.0;565.0;10.0;31.0;48.0;83.0;419.0;432;613.0
52;GO;1997;207.0;387.0;293;32;327.0;42.0;68.0;121.0;646.0;13.0;16.0;94.0;81.0;137.0;431;744.0
51;MT;1997;189.0;398.0;268;34;302.0;36.0;91.0;212.0;673.0;21.0;23.0;88.0;113.0;235.0;437;766.0
50;MS;1997;232.0;453.0;285;22;307.0;38.0;3.0;1.0;652.0;0.0;0.0;71.0;3.0;1.0;495;729.0
43;RS;1997;580.0;1029.0;694;71;765.0;118.0;1081.0;232.0;1458.0;144.0;23.0;190.0;1225.0;255.0;1147;1648.0
42;SC;1997;97.0;205.0;156;17;173.0;20.0;111.0;10.0;372.0;12.0;1.0;51.0;123.0;11.0;225;423.0
41;PR;1997;463.0;832.0;651;67;718.0;64.0;328.0;66.0;1424.0;36.0;4.0;157.0;364.0;70.0;896;1581.0
35;SP;1997;3274.0;4973.0;6534;502;7036.0;404.0;2671.0;2055.0;11509.0;274.0;151.0;1028.0;2945.0;2206.0;5377;12537.0
33;RJ;1997;3413.0;5746.0;3901;243;4144.0;408.0;2217.0;3940.0;7298.0;250.0;294.0;646.0;2468.0;4238.0;6161;7954.0
11;RO;1997;92.0;186.0;137;17;154.0;20.0;32.0;47.0;322.0;8.0;4.0;33.0;40.0;51.0;206;355.0
12;AC;1997;37.0;49.0;55;4;59.0;6.0;7.0;3.0;86.0;0.0;3.0;14.0;7.0;6.0;55;100.0
13;AM;1997;124.0;187.0;257;19;277.0;13.0;36.0;353.0;433.0;4.0;25.0;33.0;40.0;380.0;202;468.0
14;RR;1997;23.0;37.0;37;5;42.0;3.0;5.0;13.0;80.0;1.0;2.0;10.0;6.0;15.0;40;90.0
15;PA;1997;211.0;371.0;359;27;386.0;36.0;28.0;237.0;678.0;2.0;23.0;76.0;30.0;260.0;407;754.0
16;AP;1997;31.0;51.0;80;5;85.0;6.0;13.0;73.0;128.0;2.0;7.0;12.0;15.0;80.0;57;140.0
17;TO;1997;26.0;46.0;40;7;47.0;4.0;21.0;29.0;93.0;3.0;4.0;19.0;24.0;33.0;50;112.0
21;MA;1997;71.0;127.0;132;17;149.0;19.0;33.0;170.0;285.0;8.0;18.0;46.0;41.0;189.0;148;333.0
22;PI;1997;19.0;42.0;68;4;72.0;4.0;13.0;76.0;129.0;3.0;8.0;13.0;16.0;84.0;46;142.0
23;CE;1997;250.0;417.0;462;33;495.0;31.0;55.0;278.0;941.0;7.0;20.0;85.0;62.0;298.0;448;1026.0
24;RN;1997;89.0;139.0;114;10;124.0;14.0;54.0;118.0;208.0;12.0;10.0;27.0;66.0;128.0;153;235.0
25;PB;1997;166.0;299.0;225;21;247.0;27.0;26.0;67.0;449.0;1.0;8.0;42.0;27.0;75.0;327;492.0
26;PE;1997;1779.0;2850.0;1954;98;2057.0;145.0;313.0;586.0;3463.0;33.0;37.0;243.0;347.0;624.0;3000;3713.0
27;AL;1997;196.0;436.0;225;33;258.0;43.0;43.0;124.0;580.0;4.0;8.0;62.0;47.0;132.0;479;642.0
29;BA;1997;850.0;1328.0;1013;80;1093.0;98.0;14.0;120.0;1805.0;4.0;11.0;175.0;18.0;131.0;1426;1981.0
28;SE;1997;7600.0;109.0;97;9;106.0;8.0;14.0;47.0;172.0;3.0;3.0;18.0;17.0;50.0;117;190.0
31;MG;1997;387.0;656.0;532;69;601.0;72.0;262.0;519.0;1168.0;49.0;60.0;179.0;311.0;579.0;728;1347.0
15;PA;1998;240.0;407.0;410;28;438.0;29.0;56.0;472.0;707.0;10.0;45.0;67.0;66.0;517.0;436;774.0
51;MT;1998;255.0;490.0;311;44;356.0;46.0;176.0;364.0;737.0;23.0;46.0;93.0;200.0;411.0;537;832.0
52;GO;1998;217.0;390.0;294;24;325.0;36.0;71.0;180.0;616.0;12.0;12.0;76.0;84.0;193.0;434;704.0
53;DF;1998;316.0;439.0;354;27;381.0;35.0;73.0;415.0;579.0;13.0;37.0;54.0;86.0;452.0;474;633.0
50;MS;1998;210.0;376.0;268;38;306.0;41.0;10.0;8.0;595.0;3.0;2.0;73.0;13.0;10.0;418;670.0
43;RS;1998;546.0;958.0;641;75;716.0;100.0;1019.0;231.0;1343.0;137.0;30.0;181.0;1156.0;261.0;1058;1524.0
42;SC;1998;95.0;171.0;148;28;176.0;27.0;179.0;34.0;345.0;44.0;2.0;69.0;223.0;36.0;198;414.0
41;PR;1998;513.0;893.0;693;69;762.0;68.0;827.0;232.0;1447.0;117.0;22.0;178.0;944.0;254.0;961;1625.0
